"place_id","place_name","neighborhood","cuisine","setting","reservation_url","image_url","budget","description","maps_url"
"ChIJUdr25A9ZwokR2RUc0r2dJMo","Artichoke Basille's Pizza","Midtown","Pizza","Fast and casual","Walk in Only","https://www.restaurantmagazine.com/wp-content/uploads/2021/05/Artichoke-Basilles-Pizza-to-Celebrate-Grand-Opening-of-New-Phoenix-Location-on-May-21.jpg","$$","Patrons line up into the wee hours to snag signature artichoke pizza from this counter-service spot.","https://maps.app.goo.gl/zDriA35kTiD2F3ox8"
"ChIJ10EpKJJZwokRUjIWaunOQbI","Artichoke Basille's Pizza","Greenwich Village","Pizza","Fast and casual","Walk in Only","https://www.restaurantmagazine.com/wp-content/uploads/2021/05/Artichoke-Basilles-Pizza-to-Celebrate-Grand-Opening-of-New-Phoenix-Location-on-May-21.jpg","$$","Patrons line up into the wee hours to snag signature artichoke pizza from this counter-service spot.","https://maps.app.goo.gl/RGwRwDXE8MPdFGVb7"
"ChIJEWDhF55ZwokRx4atQITM9VU","Artichoke Basille's Pizza","East Village","Pizza","Fast and casual","Walk in Only","https://www.restaurantmagazine.com/wp-content/uploads/2021/05/Artichoke-Basilles-Pizza-to-Celebrate-Grand-Opening-of-New-Phoenix-Location-on-May-21.jpg","$$","Patrons line up into the wee hours to snag signature artichoke pizza from this counter-service spot.","https://maps.app.goo.gl/yj2KkzjjbRkPe4eAA"
"ChIJw6TmVsdZwokRPKQwKL-ZsII","Artichoke Basille's Pizza","Chelsea","Pizza","Fast and casual","Walk in Only","https://www.restaurantmagazine.com/wp-content/uploads/2021/05/Artichoke-Basilles-Pizza-to-Celebrate-Grand-Opening-of-New-Phoenix-Location-on-May-21.jpg","$$","Patrons line up into the wee hours to snag signature artichoke pizza from this counter-service spot.","https://maps.app.goo.gl/4xdYjS1SxGiC1kNF6"
"ChIJtSV6p65bwokRWxhrRS6USqk","Artichoke Basille's Pizza","Boerum Hill","Pizza","Fast and casual","Walk in Only","https://www.restaurantmagazine.com/wp-content/uploads/2021/05/Artichoke-Basilles-Pizza-to-Celebrate-Grand-Opening-of-New-Phoenix-Location-on-May-21.jpg","$$","Patrons line up into the wee hours to snag signature artichoke pizza from this counter-service spot.","https://maps.app.goo.gl/h4gkCaPvP2dNhACGA"
"ChIJs8MdNo9ZwokRTPUHiArLC-o","Rubirosa","Little Italy","Pizza","Sit-down","https://resy.com/cities/new-york-ny/venues/rubirosa?date=2024-07-25&seats=2","https://d2sygdwsqncsjz.cloudfront.net/783253-3.jpeg","$$","Casual spot serving reinvented Italian-American classics and thin-crust pizzas, including the standout Tie Dye pizza, in a cozy space.","https://maps.app.goo.gl/TCbXvWRf638NMfdo9"
"ChIJJShUrP5YwokRAwaeDZZccMw","Limani","Midtown","Mediterranean","Sit-down","https://www.opentable.com/limani-nyc","https://res.cloudinary.com/gonation/image/upload/w_2500/q_auto/f_auto/v1619118745/sites/limani/DSC41171.jpg","$$$","Upscale Greek-Mediterranean restaurant with a large seafood-focused menu & spacious, chic digs.","https://maps.app.goo.gl/eApN31RF5itsxT6P6"
"ChIJ34SOS_9YwokR7vXpNdS9tZ8","Oceana","Midtown","Seafood","Sit-down","https://www.opentable.com/oceana","https://images.otstatic.com/prod1/32188749/3/huge.jpg","$$$$","Vast, elegant upscale restaurant featuring innovative American seafood & an extensive wine list.","https://maps.app.goo.gl/ZUqBnnTtivYCsrJG8"
"ChIJeSToyohZwokRVHVIMsXPIUk","Ruby's Cafe - SOHO","SoHo","Other","Sit-down","Walk in Only","https://media.licdn.com/dms/image/C4D1BAQEjTGLqqBawLQ/company-background_10000/0/1612205001286/rubys_cafe_cover?e=2147483647&v=beta&t=M6C0aKMgo5aaKcJvnutFsWyDI2i8LLJujyl7ocQSGGI","$$","Petite Australian cafe luring a stylish crowd with vegemite toast and beef-topped burgers.","https://maps.app.goo.gl/UuQxG1tLWd5LnoFy7"
"ChIJm7ryTglZwokRsgnJB6CDMCo","Wayan","SoHo","Asian","Sit-down","https://resy.com/cities/new-york-ny/venues/wayan?date=2024-07-25&seats=2","https://assets.simpleviewinc.com/simpleview/image/upload/crm/newyorkstate/Wayan_224_3F7C1E50-93AA-4048-8D48FB7230C5F16A_763dec26-02d0-a0d8-85476466c253a698.jpg","$$$","French-accented Indonesian menu created by celebrated chef Jean-Georges' son Cédric Vongerichten is served in a sleek setting.","https://maps.app.goo.gl/8C2nKWFZgwiexSeJ7"
"ChIJlfNObvVZwokRYKVKPX21uOU","Mr Chow","Midtown East","Chinese","Sit-down","https://www.opentable.com/r/mr-chow-57th-new-york","https://d7hftxdivxxvm.cloudfront.net/?quality=80&resize_to=width&src=https%3A%2F%2Fartsy-media-uploads.s3.amazonaws.com%2FLSB7UsYPs4qGieWji1Z-wA%252F57th%2Binterior%2B2.jpg&width=450","$$$$","Noodles, dumplings & other upscale Chinese fare served by white-jacketed waiters in posh space.","https://maps.app.goo.gl/qv8iMeZMcgay4DPk6"
"ChIJgWmOm_VZwokRSUIfoxNB9ng","Yves","Tribeca","French","Sit-down","https://www.opentable.com/r/yves-new-york","https://images.getbento.com/accounts/b1326df07949e7dee811201cf91a77a7/media/images/634730K5A7272-Edit-Edit.jpg?w=1000&fit=crop&auto=compress,format&h=562","$$","Casually hip hangout offers an unpretentious American menu plus craft cocktails in a snug space.","https://maps.app.goo.gl/G6rcwwkBguCZkgjt7"
"ChIJTWkuhfVZwokRS_go-fdp7Vs","Locanda Verde","Tribeca","Italian","Sit-down","https://www.opentable.com/r/locanda-verde-new-york-2","https://www.nydailynews.com/wp-content/uploads/migration/2009/07/07/SMWY7G3VY3WUYVLSTOQOKRQPDE.jpg?w=535","$$$","TriBeCa hot spot showcasing rustic Italian cuisine in a lively atmosphere.","https://maps.app.goo.gl/vzb7TPBhJ6nRNaQH6"
"ChIJp0gKoClawokR0txqrcaEkFc","Jajaja Mexicana","Lower East Side","Vegan & Vegetarian","Sit-down","https://resy.com/cities/new-york-ny/venues/jajaja-mexicana-lower-east-side?date=2024-07-27&seats=2","https://media-cdn.tripadvisor.com/media/photo-s/1d/4f/fd/8a/caption.jpg","$$","Contemporary Mexican spot with a colorful, all-vegan menu, plus tequila & mezcal cocktails.","https://maps.app.goo.gl/VyB5bu34VDFtztBm8"
"ChIJaXwp6UBbwokR1Ki9x6-BIug","The Fulton by Jean-Georges","FiDi","Seafood","Sit-down","https://resy.com/cities/new-york-ny/venues/the-fulton-by-jean-georges?date=2024-07-21&seats=2","https://image.resy.com/3/003/2/5932/564d5dec6c08178571a7c7a2edb1df5bb48820b7/jpg/1600x1600","$$$$","Waterfront restaurant preparing a modern menu of wild-caught seafood paired with seasonal cocktails.","https://maps.app.goo.gl/Cjb2KvA3hXC5gBE4A"
"ChIJAyVma5JZwokRshEz41zHkHs","Bar Pitti","Greenwich Village","Italian","Sit-down","Walk in Only","https://www.behindthescenesnyc.com/wp-content/uploads/2017/07/Nightlife-Bars-Bar-Pitti-West-Village.jpg","$$","Blackboard specials supplement the small menu at this Italian spot known for its glamorous crowd.","https://maps.app.goo.gl/XoWWP2JNh5t8mQ8s6"
"ChIJV7QQ6kdZwokRax4615zpSGU","Le Bernardin","Midtown","French","Sit-down","https://resy.com/cities/new-york-ny/venues/le-bernardin?date=2024-07-27&seats=2","https://res.cloudinary.com/the-infatuation/image/upload/v1656116808/cms/DavidALee_Le_Bernardin_Interior_001.jpg","$$$$","Elite French restaurant offers chef Eric Ripert's refined seafood, expert service & luxurious decor.","https://maps.app.goo.gl/XUfQ6xJreCsMoYJ76"
"ChIJQ1ZCUkRZwokRYKlkqQijGHg","Forma Pasta Factory","Greenpoint","Italian","Sit-down","Walk in Only","https://img.cdn4dd.com/cdn-cgi/image/fit=cover,width=600,height=400,format=auto,quality=80/https://doordash-static.s3.amazonaws.com/media/store/header/273273.jpg","$$","Cheerful venue for dishes featuring pasta made behind the counter and flash-boiled to order.","https://maps.app.goo.gl/zA3KrhmrM4E4tsZ58"
"ChIJBwGziqlZwokRb3MTH3xUt0Y","Tonchin NEW YORK","Midtown","Ramen","Sit-down","https://resy.com/cities/new-york-ny/venues/tonchin-new-york?date=2024-07-27&seats=2","https://assets-global.website-files.com/5e58664f0ded3a1a94864e3c/5ed8adb22fd397caad09c3ac_tonchin%20HP_1.jpg","$$","Branch of a Tokyo-based chain specializing in tonkotsu ramen, griddled dishes, and fried chicken.","https://maps.app.goo.gl/JyYV3tCmuGWBfdG18"
"ChIJv_vCZ6JZwokR_2lI72wJsl0","Laut","Union Square","Asian","Sit-down","https://resy.com/cities/new-york-ny/venues/laut?date=2024-07-27&seats=2","https://res.cloudinary.com/the-infatuation/image/upload/q_auto,f_auto/NYC_LautSingapura_PRphotos_01_xvxbkc","$$","Southeast Asian eatery with exposed brick serving fare from Thailand, Malaysia, Singapore & beyond.","https://maps.app.goo.gl/SzZTVn8KnoAYtPPR9"
"ChIJ4_kdpBBZwokR7rsYae4xCxI","Roscioli NYC","SoHo","Italian","Sit-down","https://resy.com/cities/new-york-ny/venues/roscioli-tasting-menu?date=2024-07-27&seats=2","https://cdn.vox-cdn.com/thumbor/rnX26f1VqmbuBCG2hxnYi77LmwY=/0x0:4000x3000/1200x0/filters:focal(0x0:4000x3000):no_upscale()/cdn.vox-cdn.com/uploads/chorus_asset/file/24785049/230711_ROSCIOLI_EATER_022.jpg","$$","The famed Roscioli in Rome — yes, that one — is now in the heart of New York’s Soho neighborhood, courtesy of what was once one of our favorite dinner party destinations, Niche Niche. Upstairs you’ll find a la carte options and gourmet ingredients galore; downstairs, they serve an incredible tasting menu that shows you exactly why Roscioli is so beloved. Note: reservations are only required for the downstairs tasting menu.","https://maps.app.goo.gl/5ZVkpkY1BSzw5Ppp9"
"ChIJp5ZUdGlZwokR9QomdJsja7A","Kebab Aur Sharab","Upper West Side","Indian","Sit-down","https://resy.com/cities/new-york-ny/venues/kebab-aur-sharab?date=2024-07-27&seats=2","https://www.amny.com/wp-content/uploads/2022/12/DSC07314-HDR-scaled.jpg","$$","Salil Mehta, the chef and restaurateur behind some of the city’s most celebrated Southeast Asian restaurants (Laut, Laut Singapura, Singlish, and Wau) turns his focus to his hometown of New Delhi, and to street food at this Upper West Side gem with its own tandoor clay oven. Don’t sleep on the dori kebab, the rogan josh made with steak, or the Malabar bone marrow pulau.","https://maps.app.goo.gl/gurbyMfjnetnfGcx5"
"ChIJ7yN3d6tZwokRATR9U3lAqLg","Putlock Club","Lower East Side","Chinese","Sit-down","https://resy.com/cities/new-york-ny/venues/potluck-club?date=2024-07-27&seats=2","https://blog.resy.com/wp-content/uploads/2022/08/DSCF9246-2000x1125.jpg","$$","Chefs (and brothers) Zhan Chen and Peter Chen have devised a Cantonese American menu that’s both familiar and also unexpected: Think Southern-style scallion biscuits paired with salt-and-pepper chicken, and tiger shrimp with walnuts, tossed in a Calabrian chile aioli.","https://maps.app.goo.gl/pj9bsMUFVX3a26SF8"
