"place_id","place_name","neighborhood","tags","reservation_url","image_url","budget","description","maps_url","cocktail","dive","jazz","wine","rooftop","speakeasy","beer","pub","lat","lng"
"ChIJ26qnT6lZwokR0M8xAaWVR0k","Gem Wine","lower-east-side","Wine Bar,","https://resy.com/cities/new-york-ny/venues/gem-wine?date=2024-09-17&seats=2&query=jadis&activeView=list","https://image.resy.com/3/003/2/73663/24a85d5db639ab1dff676d0600e1818b77556ae0/jpg/640x360","$$",NA,NA,0,0,0,1,0,0,0,0,40.7191233,-73.9921624
"ChIJW3Jhm8pZwokRlWrTFhoG1BU","Sauced","williamsburg","Wine Bar, Live music,","Walk in Only","https://www.tagvenue.com/resize/31/04/fit-900-600;53515-outdoor-garden-room.jpg","$$","Trendy wine bar serving selections by the glass & bottle, plus daily food specials.",NA,0,0,0,1,0,0,0,0,40.7126314,-73.9622835
"ChIJu2seBgBZwokRkrMQHBMe9fY","Sauced","east-village","Wine Bar,","Walk in Only","https://cititour.com/NYC_News/photos/Sauced,_East_Village,_NYC_Interior_3.jpg","$$",NA,NA,0,0,0,1,0,0,0,0,40.7254489,-73.9902639
"ChIJHfvtRp1ZwokREpFE8Z1BEKs","Ruffian","east-village","Wine Bar,","https://resy.com/cities/new-york-ny/venues/ruffian?date=2024-09-20&seats=2","https://i.pinimg.com/originals/09/7d/59/097d592fa4d48cae2e8a0d304b770175.jpg","$$","Intimate setting for premium wines with a menu of locally & seasonally inspired plates.",NA,0,0,0,1,0,0,0,0,40.7264264,-73.9841019
"ChIJCcgN9ZhbwokRhp2o_PJr4l0","Rhodora Wine Bar","clinton-hill","Wine Bar,","Walk in Only","https://pyxis.nymag.com/v1/imgs/b78/e65/cf1d3bad972644ae29de292f5cc892d715-rhodora-01.2x.rhorizontal.w700.jpg","$$","Relaxed wine bar with a zero waste goal serving tapas-style bites paired with natural wines.",NA,0,0,0,1,0,0,0,0,40.6917328,-73.9714244
"ChIJw5z5Ps5ZwokRoYFyWOKzbJQ","Temperance Wine Bar","west-village","Wine Bar,","https://resy.com/cities/new-york-ny/venues/temperance?date=2024-09-20&seats=2","https://images.squarespace-cdn.com/content/v1/62f3e4d8fa05191de3a225f9/80502dbf-427e-452b-8491-f7487948cc10/Temperance_0821_LizClayman_06.jpg","$$",NA,NA,0,0,0,1,0,0,0,0,40.7299287,-74.0031643
"ChIJzVWJIgVZwokRZzgRswAxIJY","Soda Club","alphabet-city","Wine Bar,","https://resy.com/cities/new-york-ny/venues/soda-club?date=2024-09-20&seats=2","https://media.lacucinaitaliana.com/photos/60f6ec87745e2498d78accfa/master/w_900,c_limit/Soda%20Club%20Interior%203%20by%20Eric%20Medsker.jpg","$$",NA,NA,0,0,0,1,0,0,0,0,40.7266772,-73.9798966
"ChIJbXC6C19ZwokRXOXRQspVwTM","Have and Meyer","williamsburg","Wine Bar,","https://www.opentable.com/r/have-and-meyer-vineria-naturale-con-cucina-brooklyn?ref=1068","https://images.squarespace-cdn.com/content/v1/5797778115d5dbda8adb842b/1657239888851-D8IW6DNC60F00XUFZOR3/IMG_0052.JPG?format=1500w","$$","Sustainable Italian food is served at this warm, intimate wine bar with sidewalk seating.",NA,0,0,0,1,0,0,0,0,40.7132122,-73.9563523
"ChIJrSqq6fZZwokRVGXi_iHUnhY","Vanguard Wine Bar","midtown-west","Wine Bar,","Walk in Only","https://lh3.googleusercontent.com/p/AF1QipMvJ6Q_TvKeK7m_OXw0G6h4Zqijs6hgoWf0XZ92=s1360-w1360-h1020","$$",NA,NA,0,0,0,1,0,0,0,0,40.7626094,-73.9853275
"ChIJc3WcGrxawokRUXDN04cIlTk","Vanguard Wine Bar","upper-east-side","Wine Bar,","Walk in Only","https://usmenuguide.com/wp-content/uploads/2019/12/vangardwinebarnewyork.jpg","$$",NA,NA,0,0,0,1,0,0,0,0,40.7685404,-73.9550997
